Model,Scenario,Region,Variable,Unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Liquids,EJ/yr,0.08559637,0.09290841,0.09890059,0.09243976,0.08727359,0.08380818,0.10352398,0.10353405,0.12096232,0.12554824,0.13396919,0.13894152,0.14174767,0.14471908,0.13932004,0.13382826,0.13233625,0.14464238,0.14440197,0.15089295,0.14631485,0.1352187,0.08135793,0.08615764,0.08023981,0.09337132,0.09419573,0.09129722,0.08423203,0.07754302,0.0749678,0.0782991,0.09024062,0.09324945,0.09554391,0.09505879,0.18339926,0.20997937,0.20402316,0.18745669,0.1964354,0.19328199,0.19012083,0.19408565,0.23135533
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry|Solar,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Final Energy|Industry,EJ/yr,0.62143902,0.64306045,0.7166741,0.72711025,0.77513394,0.85225136,0.9004807,0.90867846,0.96433585,1.02135663,1.08921804,1.00261287,0.9438678,0.99645986,1.0079348,1.00706445,1.03017202,1.08810167,1.0973247,1.08587974,1.04428062,0.93922296,0.86409419,0.88526901,0.97193196,1.06309442,1.10552932,1.16684889,1.10069213,1.09383772,1.05170256,1.11736841,1.13312272,1.19129963,1.15300452,1.12099673,1.15753959,1.18680172,1.35051179,1.28017745,1.24467071,1.23311112,1.28895846,1.31444678,1.35590042
History,IEA Energy Statistics (2017),South Africa,Final Energy|Transportation|Solids|Biomass,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Final Energy|Transportation|Solids|Coal,EJ/yr,0.13797654,0.12356067,0.11467901,0.09694263,0.10528441,0.07917925,0.07272723,0.06384556,0.05631367,0.05234526,0.04899774,0.04176283,0.0350948,0.03207126,0.02672602,0.02451237,0.02051695,0.01177027,0.00450835,0.00197073,0.00102585,0.00051292,0.00253762,0.00113383,0.0014578,0.0006209,5.40E-05,0.0006209,0,0,0,0,0,0,0,0,0,0,0,2.70E-05,0.00224065,0.00056693,0.0005939,0.00045892,0
History,IEA Energy Statistics (2017),South Africa,Final Energy|Transportation|Electricity,EJ/yr,0.01180292,0.010017,0.01042748,0.01118721,0.01137445,0.01208377,0.01273909,0.01266348,0.01343042,0.0155656,0.01675021,0.01758196,0.01562321,0.01654498,0.01651617,0.01620652,0.01457902,0.01483467,0.01522714,0.01425136,0.01326839,0.0166674,0.0144638,0.01579964,0.01544678,0.01534596,0.01637575,0.01661339,0.01585005,0.01937149,0.01986838,0.02232402,0.01970635,0.02236002,0.01960193,0.01216659,0.0238975,0.01285791,0.01274269,0.01292993,0.01357804,0.01374367,0.01342682,0.0133152,0.01241143
History,IEA Energy Statistics (2017),South Africa,Final Energy|Transportation|Fossil,EJ/yr,0.35970113,0.36625326,0.3885942,0.36717939,0.40620312,0.38932072,0.37897883,0.38908757,0.33712226,0.34222778,0.35736063,0.35850514,0.35761594,0.37955502,0.36331263,0.35929418,0.38097787,0.40098511,0.40718463,0.41688545,0.41809025,0.42502781,0.4270958,0.4432757,0.49792043,0.48543426,0.4982187,0.49327861,0.49985464,0.49656913,0.50771733,0.51835937,0.54867532,0.58026076,0.60706247,0.62284034,0.6829942,0.68225242,0.6556821,0.67354442,0.70633535,0.7064033,0.77218467,0.73519422,0.74852611
History,IEA Energy Statistics (2017),South Africa,Final Energy|Transportation|Gases,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20E-06,7.20E-06,7.20E-06,7.20E-06
